fecha,region,comuna,poblacion_cuarentena,poblacion_comuna
2020-03-27,REGIÓN METROPOLITANA DE SANTIAGO,Independencia,100059.0,100059.0
2020-03-27,REGIÓN METROPOLITANA DE SANTIAGO,Las Condes,294494.0,294494.0
2020-03-27,REGIÓN METROPOLITANA DE SANTIAGO,Lo Barnechea,103215.0,103215.0
2020-03-27,REGIÓN METROPOLITANA DE SANTIAGO,Providencia,141986.0,141986.0
2020-03-27,REGIÓN METROPOLITANA DE SANTIAGO,Santiago,403208.0,403208.0
2020-03-27,REGIÓN METROPOLITANA DE SANTIAGO,Vitacura,85300.0,85300.0
2020-03-27,,,,
2020-03-28,REGIÓN METROPOLITANA DE SANTIAGO,Independencia,100059.0,100059.0
2020-03-28,REGIÓN METROPOLITANA DE SANTIAGO,Las Condes,294494.0,294494.0
2020-03-28,REGIÓN METROPOLITANA DE SANTIAGO,Lo Barnechea,103215.0,103215.0
2020-03-28,REGIÓN METROPOLITANA DE SANTIAGO,Providencia,141986.0,141986.0
2020-03-28,REGIÓN METROPOLITANA DE SANTIAGO,Santiago,403208.0,403208.0
2020-03-28,REGIÓN METROPOLITANA DE SANTIAGO,Vitacura,85300.0,85300.0
2020-03-28,,,,
2020-03-29,REGIÓN METROPOLITANA DE SANTIAGO,Independencia,100059.0,100059.0
2020-03-29,REGIÓN METROPOLITANA DE SANTIAGO,Las Condes,294494.0,294494.0
2020-03-29,REGIÓN METROPOLITANA DE SANTIAGO,Lo Barnechea,103215.0,103215.0
2020-03-29,REGIÓN METROPOLITANA DE SANTIAGO,Providencia,141986.0,141986.0
2020-03-29,REGIÓN METROPOLITANA DE SANTIAGO,Santiago,403208.0,403208.0
2020-03-29,REGIÓN METROPOLITANA DE SANTIAGO,Vitacura,85300.0,85300.0
2020-03-29,,,,
2020-03-30,REGIÓN METROPOLITANA DE SANTIAGO,Independencia,100059.0,100059.0
2020-03-30,REGIÓN METROPOLITANA DE SANTIAGO,Las Condes,294494.0,294494.0
2020-03-30,REGIÓN METROPOLITANA DE SANTIAGO,Lo Barnechea,103215.0,103215.0
2020-03-30,REGIÓN METROPOLITANA DE SANTIAGO,Providencia,141986.0,141986.0
2020-03-30,REGIÓN METROPOLITANA DE SANTIAGO,Santiago,403208.0,403208.0
2020-03-30,REGIÓN METROPOLITANA DE SANTIAGO,Vitacura,85300.0,85300.0
2020-03-30,,,,
2020-03-31,REGIÓN METROPOLITANA DE SANTIAGO,Independencia,100059.0,100059.0
2020-03-31,REGIÓN METROPOLITANA DE SANTIAGO,Las Condes,294494.0,294494.0
2020-03-31,REGIÓN METROPOLITANA DE SANTIAGO,Lo Barnechea,103215.0,103215.0
2020-03-31,REGIÓN METROPOLITANA DE SANTIAGO,Providencia,141986.0,141986.0
2020-03-31,REGIÓN METROPOLITANA DE SANTIAGO,Santiago,403208.0,403208.0
2020-03-31,REGIÓN METROPOLITANA DE SANTIAGO,Vitacura,85300.0,85300.0
2020-03-31,,,,
2020-04-01,REGIÓN METROPOLITANA DE SANTIAGO,Independencia,100059.0,100059.0
2020-04-01,REGIÓN METROPOLITANA DE SANTIAGO,Las Condes,294494.0,294494.0
2020-04-01,REGIÓN METROPOLITANA DE SANTIAGO,Lo Barnechea,103215.0,103215.0
2020-04-01,REGIÓN METROPOLITANA DE SANTIAGO,Providencia,141986.0,141986.0
2020-04-01,REGIÓN METROPOLITANA DE SANTIAGO,Santiago,403208.0,403208.0
2020-04-01,REGIÓN METROPOLITANA DE SANTIAGO,Vitacura,85300.0,85300.0
2020-04-01,,,,
2020-04-02,REGIÓN METROPOLITANA DE SANTIAGO,Independencia,100059.0,100059.0
2020-04-02,REGIÓN METROPOLITANA DE SANTIAGO,Las Condes,294494.0,294494.0
2020-04-02,REGIÓN METROPOLITANA DE SANTIAGO,Lo Barnechea,103215.0,103215.0
2020-04-02,REGIÓN METROPOLITANA DE SANTIAGO,Providencia,141986.0,141986.0
2020-04-02,REGIÓN METROPOLITANA DE SANTIAGO,Santiago,403208.0,403208.0
2020-04-02,REGIÓN METROPOLITANA DE SANTIAGO,Vitacura,85300.0,85300.0
2020-04-02,,,,
2020-04-03,REGIÓN METROPOLITANA DE SANTIAGO,Las Condes,294494.0,294494.0
2020-04-03,REGIÓN METROPOLITANA DE SANTIAGO,Lo Barnechea,103215.0,103215.0
2020-04-03,REGIÓN METROPOLITANA DE SANTIAGO,Providencia,141986.0,141986.0
2020-04-03,REGIÓN METROPOLITANA DE SANTIAGO,Santiago,403208.0,403208.0
2020-04-03,REGIÓN METROPOLITANA DE SANTIAGO,Vitacura,85300.0,85300.0
2020-04-03,,,,
2020-04-04,REGIÓN METROPOLITANA DE SANTIAGO,Las Condes,294494.0,294494.0
2020-04-04,REGIÓN METROPOLITANA DE SANTIAGO,Lo Barnechea,103215.0,103215.0
2020-04-04,REGIÓN METROPOLITANA DE SANTIAGO,Providencia,141986.0,141986.0
2020-04-04,REGIÓN METROPOLITANA DE SANTIAGO,Santiago,403208.0,403208.0
2020-04-04,REGIÓN METROPOLITANA DE SANTIAGO,Vitacura,85300.0,85300.0
2020-04-04,,,,
2020-04-05,REGIÓN METROPOLITANA DE SANTIAGO,Las Condes,294494.0,294494.0
2020-04-05,REGIÓN METROPOLITANA DE SANTIAGO,Lo Barnechea,103215.0,103215.0
2020-04-05,REGIÓN METROPOLITANA DE SANTIAGO,Providencia,141986.0,141986.0
2020-04-05,REGIÓN METROPOLITANA DE SANTIAGO,Santiago,403208.0,403208.0
2020-04-05,REGIÓN METROPOLITANA DE SANTIAGO,Vitacura,85300.0,85300.0
2020-04-05,,,,
2020-04-06,REGIÓN METROPOLITANA DE SANTIAGO,Las Condes,294494.0,294494.0
2020-04-06,REGIÓN METROPOLITANA DE SANTIAGO,Lo Barnechea,103215.0,103215.0
2020-04-06,REGIÓN METROPOLITANA DE SANTIAGO,Providencia,141986.0,141986.0
2020-04-06,REGIÓN METROPOLITANA DE SANTIAGO,Santiago,403208.0,403208.0
2020-04-06,REGIÓN METROPOLITANA DE SANTIAGO,Vitacura,85300.0,85300.0
2020-04-06,,,,
2020-04-07,REGIÓN METROPOLITANA DE SANTIAGO,Las Condes,294494.0,294494.0
2020-04-07,REGIÓN METROPOLITANA DE SANTIAGO,Lo Barnechea,103215.0,103215.0
2020-04-07,REGIÓN METROPOLITANA DE SANTIAGO,Providencia,141986.0,141986.0
2020-04-07,REGIÓN METROPOLITANA DE SANTIAGO,Santiago,403208.0,403208.0
2020-04-07,REGIÓN METROPOLITANA DE SANTIAGO,Vitacura,85300.0,85300.0
2020-04-07,,,,
2020-04-08,REGIÓN METROPOLITANA DE SANTIAGO,Las Condes,294494.0,294494.0
2020-04-08,REGIÓN METROPOLITANA DE SANTIAGO,Lo Barnechea,103215.0,103215.0
2020-04-08,REGIÓN METROPOLITANA DE SANTIAGO,Providencia,141986.0,141986.0
2020-04-08,REGIÓN METROPOLITANA DE SANTIAGO,Santiago,403208.0,403208.0
2020-04-08,REGIÓN METROPOLITANA DE SANTIAGO,Vitacura,85300.0,85300.0
2020-04-08,,,,
2020-04-09,REGIÓN METROPOLITANA DE SANTIAGO,Las Condes,294494.0,294494.0
2020-04-09,REGIÓN METROPOLITANA DE SANTIAGO,Lo Barnechea,103215.0,103215.0
2020-04-09,REGIÓN METROPOLITANA DE SANTIAGO,Providencia,141986.0,141986.0
2020-04-09,REGIÓN METROPOLITANA DE SANTIAGO,Santiago,403208.0,403208.0
2020-04-09,REGIÓN METROPOLITANA DE SANTIAGO,Vitacura,85300.0,85300.0
2020-04-09,,,,
2020-04-10,REGIÓN METROPOLITANA DE SANTIAGO,Las Condes,294494.0,294494.0
2020-04-10,REGIÓN METROPOLITANA DE SANTIAGO,Lo Barnechea,103215.0,103215.0
2020-04-10,REGIÓN METROPOLITANA DE SANTIAGO,Providencia,141986.0,141986.0
2020-04-10,,,,
2020-04-10,REGIÓN METROPOLITANA DE SANTIAGO,Santiago,403208.0,403208.0
2020-04-10,REGIÓN METROPOLITANA DE SANTIAGO,Vitacura,85300.0,85300.0
2020-04-10,,,,
2020-04-11,REGIÓN METROPOLITANA DE SANTIAGO,Las Condes,294494.0,294494.0
2020-04-11,REGIÓN METROPOLITANA DE SANTIAGO,Lo Barnechea,103215.0,103215.0
